C|Hank Green|35|L|333034293|Jl. Ketintang Baru
S,Toyota|Supra|ganti oli|Farhan|20-April-2026|0|0
S,Toyota|Yaris|ganti oli|Farhan|2-April-2026|1|0
S,Toyota|Yaris|ganti oli|Farhan|17-April-2026|0|0
S,Toyota|Yaris|pasang soundsystem|Suby|1-Mei-2026|1|0
C|Zikri|44|L|23235435|ketintang timur
S,Honda|Civic|kaki-kaki bunyi|Dimas|7-Mei-2026|0|0
C|McQueen|23|L|0821|Radiator Springs
S,Himself|In The Cars|Haus Oli|Suby|5-Mei-2026|0|0
C|Elon|26|L|68|Jl.Tesla
S,Model S|Tesla|Baterai bocor|Rafi|08-Agustus-2026|0|0

